Order Date,Order ID,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,ProfitorLoss,Prof Percentage,IsDiscounted
14-01-2020,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,OFF-EN-10001219,Office Supplies,Envelopes,18.336,3,0.2,6.6468,Profit,36.25,TRUE
14-01-2020,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,OFF-PA-10000019,Office Supplies,Paper,36.288,7,0.2,12.7008,Profit,35,TRUE
14-01-2020,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,TEC-PH-10001924,Technology,Phones,111.984,2,0.2,6.999,Profit,6.25,TRUE
14-01-2020,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,OFF-BI-10002003,Office Supplies,Binders,5.97,5,0.7,-4.577,Loss,-76.66666667,TRUE
14-01-2020,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,OFF-BI-10003727,Office Supplies,Binders,2.508,2,0.7,-1.8392,Loss,-73.33333333,TRUE
14-01-2020,CA-2017-149076,Standard Class,SO-20335,Consumer,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,154.9,5,0,69.705,Profit,45,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,OFF-ST-10001590,Office Supplies,Storage,67.4,5,0,17.524,Profit,26,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,OFF-FA-10003472,Office Supplies,Fasteners,2.52,2,0,0.1008,Profit,4,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,TEC-PH-10000169,Technology,Phones,67.8,4,0,1.356,Profit,2,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,OFF-ST-10002562,Office Supplies,Storage,18.76,2,0,5.2528,Profit,28,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,TEC-AC-10001445,Technology,Accessories,12.12,4,0,2.5452,Profit,21,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,OFF-PA-10004156,Office Supplies,Paper,11.34,1,0,5.5566,Profit,49,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,TEC-AC-10004469,Technology,Accessories,159.8,4,0,70.312,Profit,44,FALSE
14-01-2020,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,FUR-FU-10001037,Furniture,Furnishings,18.96,2,0,8.532,Profit,45,FALSE
15-01-2020,CA-2017-167752,First Class,RW-19690,Consumer,Philadelphia,Pennsylvania,East,OFF-AP-10000159,Office Supplies,Appliances,34.384,1,0.2,3.8682,Profit,11.25,TRUE
15-01-2020,CA-2017-167752,First Class,RW-19690,Consumer,Philadelphia,Pennsylvania,East,OFF-AP-10002945,Office Supplies,Appliances,1924.16,8,0.2,312.676,Profit,16.25,TRUE
15-01-2020,CA-2017-152961,Standard Class,SC-20095,Consumer,Quincy,Massachusetts,East,OFF-PA-10004675,Office Supplies,Paper,12.7,2,0,5.842,Profit,46,FALSE
15-01-2020,CA-2017-160934,Standard Class,TT-21460,Home Office,Los Angeles,California,West,OFF-AR-10003504,Office Supplies,Art,21.4,5,0,6.206,Profit,29,FALSE
15-01-2020,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,TEC-AC-10003628,Technology,Accessories,47.984,2,0.2,14.3952,Profit,30,TRUE
15-01-2020,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,TEC-AC-10002331,Technology,Accessories,62.592,8,0.2,13.3008,Profit,21.25,TRUE
16-01-2020,CA-2017-125913,Same Day,JO-15145,Corporate,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,27.92,4,0,8.0968,Profit,29,FALSE
16-01-2020,CA-2017-125913,Same Day,JO-15145,Corporate,Los Angeles,California,West,FUR-TA-10001520,Furniture,Tables,399.672,7,0.2,-14.9877,Loss,-3.75,TRUE
16-01-2020,CA-2017-138289,Second Class,AR-10540,Consumer,Jackson,Michigan,Central,FUR-CH-10004626,Furniture,Chairs,302.67,3,0,72.6408,Profit,24,FALSE
16-01-2020,CA-2017-138289,Second Class,AR-10540,Consumer,Jackson,Michigan,Central,OFF-PA-10001260,Office Supplies,Paper,56.07,7,0,25.2315,Profit,45,FALSE
19-01-2020,CA-2017-154718,Second Class,DL-12865,Consumer,Keller,Texas,Central,OFF-LA-10003714,Office Supplies,Labels,6,2,0.2,2.1,Profit,35,TRUE
19-01-2020,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,TEC-PH-10001817,Technology,Phones,429.6,2,0.4,-93.08,Loss,-21.66666667,TRUE
19-01-2020,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10002759,Furniture,Furnishings,31.968,2,0.2,6.3936,Profit,20,TRUE
19-01-2020,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10000309,Furniture,Chairs,887.271,3,0.3,-63.3765,Loss,-7.142857143,TRUE
19-01-2020,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,OFF-PA-10003673,Office Supplies,Paper,21.696,4,0.2,7.0512,Profit,32.5,TRUE
19-01-2020,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,OFF-PA-10000157,Office Supplies,Paper,79.92,4,0,37.5624,Profit,47,FALSE
19-01-2020,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,OFF-PA-10001970,Office Supplies,Paper,12.28,1,0,5.7716,Profit,47,FALSE
19-01-2020,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,OFF-AP-10000828,Office Supplies,Appliances,542.94,3,0,152.0232,Profit,28,FALSE
19-01-2020,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,OFF-EN-10001509,Office Supplies,Envelopes,2.04,1,0,0.9588,Profit,47,FALSE
20-01-2020,CA-2017-157252,Second Class,CV-12805,Corporate,New York City,New York,East,FUR-CH-10003396,Furniture,Chairs,207.846,3,0.1,2.3094,Profit,1.111111111,TRUE
20-01-2020,CA-2017-161809,Standard Class,TH-21100,Consumer,Los Angeles,California,West,TEC-PH-10004922,Technology,Phones,160.776,3,0.2,10.0485,Profit,6.25,TRUE
20-01-2020,CA-2017-144589,Standard Class,TM-21010,Consumer,San Francisco,California,West,OFF-AR-10003631,Office Supplies,Art,24.2,5,0,7.986,Profit,33,FALSE
20-01-2020,CA-2017-144589,Standard Class,TM-21010,Consumer,San Francisco,California,West,TEC-PH-10003072,Technology,Phones,359.976,3,0.2,130.4913,Profit,36.25,TRUE
20-01-2020,US-2017-120649,Standard Class,JF-15490,Consumer,Waterbury,Connecticut,East,OFF-AR-10001545,Office Supplies,Art,3.52,2,0,1.0208,Profit,29,FALSE
20-01-2020,CA-2017-152079,First Class,ML-17410,Consumer,Chicago,Illinois,Central,OFF-LA-10001613,Office Supplies,Labels,11.52,5,0.2,4.176,Profit,36.25,TRUE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,OFF-ST-10000736,Office Supplies,Storage,242.94,3,0,9.7176,Profit,4,FALSE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,TEC-AC-10003610,Technology,Accessories,179.97,3,0,86.3856,Profit,48,FALSE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,OFF-BI-10003982,Office Supplies,Binders,99.696,6,0.2,33.6474,Profit,33.75,TRUE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,OFF-BI-10003291,Office Supplies,Binders,27.936,4,0.2,9.4284,Profit,33.75,TRUE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,FUR-BO-10001619,Furniture,Bookcases,84.98,1,0,18.6956,Profit,22,FALSE
21-01-2020,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,OFF-BI-10000138,Office Supplies,Binders,18.72,5,0.2,6.552,Profit,35,TRUE
21-01-2020,CA-2017-160423,Standard Class,PS-19045,Home Office,Charlotte,North Carolina,South,OFF-ST-10004340,Office Supplies,Storage,348.208,7,0.2,30.4682,Profit,8.75,TRUE
21-01-2020,CA-2017-160423,Standard Class,PS-19045,Home Office,Charlotte,North Carolina,South,OFF-BI-10004001,Office Supplies,Binders,35.784,7,0.7,-28.6272,Loss,-80,TRUE
21-01-2020,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,OFF-BI-10000546,Office Supplies,Binders,14.4,5,0,7.056,Profit,49,FALSE
21-01-2020,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,TEC-AC-10002049,Technology,Accessories,619.95,5,0,111.591,Profit,18,FALSE
21-01-2020,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,OFF-BI-10001196,Office Supplies,Binders,89.52,4,0,42.0744,Profit,47,FALSE
21-01-2020,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,TEC-MA-10002981,Technology,Machines,350.973,3,0.1,152.0883,Profit,43.33333333,TRUE
21-01-2020,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,TEC-PH-10003601,Technology,Phones,164.99,1,0,49.497,Profit,30,FALSE
21-01-2020,CA-2017-141782,Standard Class,BE-11410,Consumer,Aurora,Illinois,Central,OFF-EN-10002230,Office Supplies,Envelopes,268.576,4,0.2,90.6444,Profit,33.75,TRUE
22-01-2020,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,TEC-CO-10003236,Technology,Copiers,2999.95,5,0,1379.977,Profit,46,FALSE
22-01-2020,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,OFF-ST-10004507,Office Supplies,Storage,51.45,3,0,13.8915,Profit,27,FALSE
22-01-2020,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,OFF-PA-10001667,Office Supplies,Paper,11.96,2,0,5.382,Profit,45,FALSE
22-01-2020,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,OFF-ST-10004459,Office Supplies,Storage,1126.02,3,0,56.301,Profit,5,FALSE
22-01-2020,CA-2017-152499,Second Class,EH-13765,Corporate,Chicago,Illinois,Central,OFF-FA-10002975,Office Supplies,Fasteners,15.12,5,0.2,4.914,Profit,32.5,TRUE
22-01-2020,CA-2017-152499,Second Class,EH-13765,Corporate,Chicago,Illinois,Central,OFF-AR-10003481,Office Supplies,Art,7.872,3,0.2,0.8856,Profit,11.25,TRUE
23-01-2020,CA-2017-145142,First Class,MC-17605,Corporate,Detroit,Michigan,Central,FUR-TA-10001857,Furniture,Tables,210.98,2,0,21.098,Profit,10,FALSE
23-01-2020,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,OFF-BI-10001757,Office Supplies,Binders,19.68,5,0.2,6.888,Profit,35,TRUE
23-01-2020,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,OFF-PA-10004621,Office Supplies,Paper,25.92,4,0,12.4416,Profit,48,FALSE
23-01-2020,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,OFF-PA-10002262,Office Supplies,Paper,6.48,1,0,3.1104,Profit,48,FALSE
23-01-2020,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,TEC-PH-10004100,Technology,Phones,86.352,6,0.2,8.6352,Profit,10,TRUE
23-01-2020,CA-2017-161893,Standard Class,HP-14815,Home Office,Tucson,Arizona,West,TEC-AC-10001874,Technology,Accessories,95.984,2,0.2,11.998,Profit,12.5,TRUE
23-01-2020,CA-2017-161893,Standard Class,HP-14815,Home Office,Tucson,Arizona,West,OFF-BI-10004506,Office Supplies,Binders,4.938,2,0.7,-3.6212,Loss,-73.33333333,TRUE
24-01-2020,CA-2017-119669,Standard Class,TP-21130,Consumer,Smyrna,Georgia,South,OFF-FA-10000053,Office Supplies,Fasteners,5.67,3,0,0.1134,Profit,2,FALSE
24-01-2020,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,OFF-AP-10001492,Office Supplies,Appliances,25.86,3,0,6.7236,Profit,26,FALSE
24-01-2020,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,OFF-BI-10004318,Office Supplies,Binders,276.784,2,0.2,89.9548,Profit,32.5,TRUE
24-01-2020,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,TEC-PH-10000193,Technology,Phones,110.352,3,0.2,8.2764,Profit,7.5,TRUE
26-01-2020,CA-2017-134649,Second Class,CA-11965,Corporate,Hoover,Alabama,South,OFF-AR-10001547,Office Supplies,Art,15.47,7,0,4.1769,Profit,27,FALSE
26-01-2020,CA-2017-134649,Second Class,CA-11965,Corporate,Hoover,Alabama,South,OFF-BI-10001890,Office Supplies,Binders,7.16,2,0,3.4368,Profit,48,FALSE
26-01-2020,CA-2017-164098,First Class,CG-12520,Consumer,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,18.16,2,0.2,1.816,Profit,10,TRUE
26-01-2020,CA-2017-150469,Standard Class,CJ-12010,Consumer,San Francisco,California,West,OFF-FA-10000611,Office Supplies,Fasteners,11.84,8,0,5.6832,Profit,48,FALSE
26-01-2020,US-2017-105935,Standard Class,BD-11500,Consumer,Columbus,Georgia,South,FUR-FU-10002157,Furniture,Furnishings,62.72,4,0,24.4608,Profit,39,FALSE
26-01-2020,US-2017-105935,Standard Class,BD-11500,Consumer,Columbus,Georgia,South,TEC-PH-10001459,Technology,Phones,2939.93,7,0,764.3818,Profit,26,FALSE
27-01-2020,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,OFF-AR-10004078,Office Supplies,Art,14.016,3,0.2,1.752,Profit,12.5,TRUE
27-01-2020,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,TEC-AC-10000927,Technology,Accessories,71.976,3,0.2,-8.997,Loss,-12.5,TRUE
27-01-2020,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,TEC-PH-10003931,Technology,Phones,107.982,3,0.4,-26.9955,Loss,-25,TRUE
27-01-2020,US-2017-104437,Standard Class,TG-21310,Consumer,New York City,New York,East,TEC-PH-10000193,Technology,Phones,137.94,3,0,35.8644,Profit,26,FALSE
28-01-2020,CA-2017-115994,Second Class,BT-11305,Home Office,Costa Mesa,California,West,TEC-AC-10000580,Technology,Accessories,239.97,3,0,26.3967,Profit,11,FALSE
28-01-2020,CA-2017-115994,Second Class,BT-11305,Home Office,Costa Mesa,California,West,FUR-FU-10003976,Furniture,Furnishings,37.74,3,0,12.8316,Profit,34,FALSE
28-01-2020,US-2017-147984,Standard Class,GB-14575,Consumer,Wichita,Kansas,Central,OFF-PA-10000806,Office Supplies,Paper,279.9,5,0,137.151,Profit,49,FALSE
28-01-2020,US-2017-166037,Standard Class,CL-12700,Home Office,New York City,New York,East,TEC-AC-10002800,Technology,Accessories,449.91,9,0,157.4685,Profit,35,FALSE
29-01-2020,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,OFF-AR-10001216,Office Supplies,Art,8.34,3,0,2.1684,Profit,26,FALSE
29-01-2020,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,OFF-SU-10001664,Office Supplies,Supplies,8.57,1,0,2.2282,Profit,26,FALSE
29-01-2020,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,OFF-BI-10002498,Office Supplies,Binders,119.616,8,0.2,40.3704,Profit,33.75,TRUE
29-01-2020,CA-2017-131653,Standard Class,RD-19585,Consumer,New York City,New York,East,OFF-LA-10001045,Office Supplies,Labels,5.22,2,0,2.4012,Profit,46,FALSE
29-01-2020,CA-2017-145338,First Class,BD-11770,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10002053,Office Supplies,Art,4.768,2,0.2,0.4768,Profit,10,TRUE
29-01-2020,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,OFF-PA-10003848,Office Supplies,Paper,12.96,2,0,6.2208,Profit,48,FALSE
29-01-2020,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,OFF-PA-10000176,Office Supplies,Paper,94.85,5,0,45.528,Profit,48,FALSE
29-01-2020,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,OFF-ST-10001590,Office Supplies,Storage,13.48,1,0,3.5048,Profit,26,FALSE
29-01-2020,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,FUR-FU-10000010,Furniture,Furnishings,14.91,3,0,4.6221,Profit,31,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,OFF-BI-10001036,Office Supplies,Binders,18.28,2,0,9.14,Profit,50,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,TEC-PH-10004614,Technology,Phones,207,3,0,51.75,Profit,25,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,OFF-BI-10000301,Office Supplies,Binders,32.35,5,0,16.175,Profit,50,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,OFF-BI-10003910,Office Supplies,Binders,7.71,1,0,3.4695,Profit,45,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,OFF-AR-10004648,Office Supplies,Art,40.3,2,0,10.881,Profit,27,FALSE
30-01-2020,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,FUR-FU-10002597,Furniture,Furnishings,34.58,7,0,14.5236,Profit,42,FALSE
30-01-2020,CA-2017-164329,Same Day,MM-17920,Consumer,San Francisco,California,West,OFF-ST-10001511,Office Supplies,Storage,129.3,2,0,6.465,Profit,5,FALSE
30-01-2020,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,OFF-AR-10003759,Office Supplies,Art,12.74,7,0,5.733,Profit,45,FALSE
30-01-2020,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,OFF-AR-10001227,Office Supplies,Art,8.82,3,0,2.3814,Profit,27,FALSE
30-01-2020,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,FUR-CH-10000863,Furniture,Chairs,120.784,1,0.2,-13.5882,Loss,-11.25,TRUE
30-01-2020,CA-2017-148999,Standard Class,EB-13870,Consumer,Miami,Florida,South,FUR-CH-10002044,Furniture,Chairs,419.136,4,0.2,-68.1096,Loss,-16.25,TRUE
30-01-2020,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,FUR-TA-10003469,Furniture,Tables,69.375,1,0.5,-47.175,Loss,-68,TRUE
30-01-2020,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,OFF-SU-10004231,Office Supplies,Supplies,31.68,4,0.2,2.772,Profit,8.75,TRUE
30-01-2020,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,TEC-PH-10002584,Technology,Phones,2003.168,4,0.2,250.396,Profit,12.5,TRUE
30-01-2020,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,OFF-AR-10003602,Office Supplies,Art,9.344,2,0.2,3.1536,Profit,33.75,TRUE
30-01-2020,CA-2017-157273,First Class,SZ-20035,Home Office,Seattle,Washington,West,TEC-PH-10002275,Technology,Phones,604.768,4,0.2,60.4768,Profit,10,TRUE
02-02-2020,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994,Loss,-20,TRUE
02-02-2020,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2,0.2,29.364,Profit,37.5,TRUE
02-02-2020,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,9,0.2,6.9732,Profit,32.5,TRUE
02-02-2020,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,FUR-FU-10003039,Furniture,Furnishings,86.26,2,0,29.3284,Profit,34,FALSE
02-02-2020,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,OFF-ST-10000464,Office Supplies,Storage,139.04,4,0,38.9312,Profit,28,FALSE
02-02-2020,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,OFF-AP-10000252,Office Supplies,Appliances,46.8,4,0,16.38,Profit,35,FALSE
